step,lat,lon,alt,reward
0,28.5562,77.1,10000,0
1,28.543746262761378,77.11235127382048,10500.0,-5000.258050110591
2,28.53130300290172,77.12467926308649,11000.0,-5000.257712491255
3,28.51887031709231,77.13698376961257,11500.0,-5000.257371923356
4,28.50644830647478,77.1492645967034,12000.0,-5000.257028377085
5,28.494037072377026,77.16152154170318,12500.0,-5000.256681790973
6,28.48163671724453,77.17375440046601,13000.0,-5000.256332138954
7,28.469247344267835,77.18596297033609,13500.0,-5000.255979428469
8,28.456869058872655,77.19814703971694,14000.0,-5000.255623547762
9,28.444501965367117,77.21030640148241,14500.0,-5000.255264552705
10,28.432146171598376,77.22244083509533,15000.0,-5000.254902273817
11,28.41980177144375,77.23455004104234,15500.0,-5000.254536061018
12,28.40746882897823,77.24663348288165,16000.0,-5000.254163843054
13,28.39514643262328,77.2586918311655,16500.0,-5000.253807446386
14,28.382834264425377,77.27072524682646,17000.0,-5000.2534558385905
15,28.370532417703036,77.2827335272087,17500.0,-5000.253101271044
16,28.358240984470932,77.2947164741268,18000.0,-5000.2527438015
17,28.345960059723964,77.30667388492496,18500.0,-5000.252383355444
18,28.333689735476806,77.31860555843751,19000.0,-5000.252019977614
19,28.321430106165568,77.33051128902842,19500.0,-5000.251653599005
20,28.309181269579117,77.34239086510121,20000.0,-5000.251284126605
21,28.296943320153563,77.35424407952972,20500.0,-5000.250911638539
22,28.284716352325017,77.3660707236977,21000.0,-5000.250536119964
23,28.272500466303786,77.37787058302844,21500.0,-5000.250157453518
24,28.2602954026234,77.3896430346534,22000.0,-5000.249775153059
25,28.24810113949091,77.40138793403132,22500.0,-5000.249391625091
26,28.235917449291083,77.41310544209472,23000.0,-5000.249011982649
27,28.223744414911625,77.42479536512852,23500.0,-5000.248629574124
28,28.21158212520071,77.43645749749669,24000.0,-5000.2482442208
29,28.1994306643499,77.44809164250391,24500.0,-5000.247856058575
30,28.187290116550756,77.45969759749438,25000.0,-5000.247465027895
31,28.17516056543604,77.47127516279255,25500.0,-5000.24707116412
32,28.16304209519732,77.48282413276239,26000.0,-5000.246674402095
33,28.150934544156993,77.4943446742969,26500.0,-5000.246280925765
34,28.138838288383116,77.50583579199852,27000.0,-5000.245873734746
35,28.126753861896052,77.51729617307494,27500.0,-5000.245448075619
36,28.11468133938787,77.52872558059771,28000.0,-5000.245019300308
37,28.102620792756678,77.540123773168,28500.0,-5000.244587392042
38,28.090571729146564,77.551490701612,29000.0,-5000.24415992051
